OBJECT_ID,YEAR,SAMPLE_DAT,LATITUDE,LONGITUDE,DEPTH,Count_,LOCATION,COUNT_CLASS
318,2007,17-Oct-2007,26.265,-82.017,0,14059000,Red' station,High
331,2007,17-Oct-2007,26.265,-82.017,0.5,14059000,02F,High
1158,2011,26-Dec-2011,26.417233,-81.98935,0.5,12983300,"Sanibel Island, 2.85 miles SE of",High
2294,2013,16-Jan-2013,27.27175,-82.57305,2.2,11440000,"Palm Island, 0.3 miles W of",High
1153,2011,26-Dec-2011,26.419,-82.01996,0.5,11433300,"Sanibel Island, 1.57 miles SE of",High
3203,2015,30-Sep-2015,30.11865,-85.732108,0.5,10883333,St. Andrews Pass (St. Andrew Bay),High
1150,2011,26-Dec-2011,26.409483,-82.01135,0.5,10700000,"Sanibel Island, 2.52 miles SE of",High
1071,2011,8-Dec-2011,26.115486,-81.78608,0.5,10650000,Naples Bay,High
1154,2011,26-Dec-2011,26.418317,-82.01795,0.5,10486600,"Sanibel Island, 1.58 miles SE of",High
1302,2012,8-Oct-2012,27.0103,-82.4131,0.5,10240000,Manasota Beach  (SCHD),High
3484,2015,24-Nov-2015,27.3316,-82.5779,0.5,10000000, ,High
762,2009,1-Nov-2009,26.4143,-82.4402,0,9650000,Lee Co. 11,High
371,2007,22-Oct-2007,26.357,-82.171,0.5,9514000,.,High
759,2009,1-Nov-2009,26.3923,-82.4399,0,9250000,Lee Co. 7,High
1345,2012,9-Oct-2012,27.10695,-82.51906,0.5,9200000,"Venice Beach, W of",High
948,2011,14-Oct-2011,26.60155,-82.37848,0.5,9124300,"North Captiva Island, 9.6 miles NW of",High
1352,2012,9-Oct-2012,26.92467,-82.36189,0.5,8800000,Englewood Beach,High
2039,2012,26-Dec-2012,27.05703,-82.4436,0.5,8420000,Caspersen Beach,High
1354,2012,9-Oct-2012,26.532167,-82.30475,0.5,7850000,"Captiva Island, 6.76 miles W of",High
3527,2015,1-Dec-2015,30.356667,-86.483333,0.5,7841667,East Pass; 2.3 mi SE of,High
1683,2012,7-Nov-2012,26.4918,-82.1677,0.5,7500000,Wulfert Flats,High
3286,2015,20-Oct-2015,27.3316,-82.5779,0,7400000, ,High
1344,2012,9-Oct-2012,27.01988,-82.48136,0.5,7130000,"Manasota Beach, 4.3 miles NW of",High
2293,2013,16-Jan-2013,27.27175,-82.57305,0.5,6844300,"Palm Island, 0.3 miles W of",High
3213,2015,5-Oct-2015,29.89684,-85.3627,0.5,6780952,Selma St.; W end of,High
1458,2012,18-Oct-2012,26.8352,-82.282,0.5,6736000,"Little Gasparilla Island, 0.5 mi E of",High
2038,2012,26-Dec-2012,27.06631,-82.448,0.5,6290000,Brohard Beach,High
3410,2015,10-Nov-2015,27.38261,-82.677,0.5,6240000,Longboat Key; 2.3 mi W of,High
298,2007,16-Oct-2007,29.74308,-81.2454,0.5,6030000,SEAS ICW Channel Marker #72,High
1303,2012,8-Oct-2012,26.9632,-82.3857,0.5,6000000,Blind Pass Beach (SCHD),High
1059,2011,7-Dec-2011,26.447458,-82.02119,0.5,5891600,Sanibel Beach,High
490,2007,1-Dec-2007,28.2331,-80.5996,0,5693300,Patrick Air Force Base,High
742,2009,30-Oct-2009,26.71,-82.42,0.5,5609300,"Boca Grande, 10.10 mi SW of",High
3148,2014,8-Nov-2014,26.3025,-81.97268,12.2,5547500,Barefoot Beach; 8.51 mi W of,High
1157,2011,26-Dec-2011,26.418883,-81.98383,0.5,5529300,"Sanibel Island, 3.02 miles SE of",High
747,2009,31-Oct-2009,26.396333,-82.08038,0.5,5413300,"Sanibel Island, 1.83 mi S of",High
3534,2015,3-Dec-2015,27.3316,-82.5779,0.5,5200000, ,High
486,2007,30-Nov-2007,28.1751,-80.5886,0,5100600,Satellite Beach,High
2037,2012,26-Dec-2012,27.0735,-82.4509,0.5,4960000,Venice Fishing Pier,High
2114,2013,8-Jan-2013,26.5905,-82.406,0.5,4908300,"North Captiva Island, 11.40 miles W of",High
2040,2012,26-Dec-2012,27.01031,-82.41312,0.5,4890000,Manasota Beach,High
2080,2013,3-Jan-2013,26.9307,-82.3498,0.5,4879300,"Manasota Key, NE of, Lemon Bay",High
2036,2012,26-Dec-2012,27.07827,-82.45286,0.5,4830000,Service Club Park,High
776,2009,6-Nov-2009,26.4292,-82.0425,0.5,4800000,"Sanibel, 0.4 mi south of",High
2169,2013,15-Jan-2013,27.00099,-82.40468,0.5,4480000,"Manasota Key, NE of Lemon Bay",High
3525,2015,1-Dec-2015,30.38155,-86.505556,0.5,4450833,Destin Jetties,High
271,2007,13-Oct-2007,30.333333,-86.508333,0.3,4210000,Destin CGA -2,High
146,2007,1-Mar-2007,24.833333,-82.25,0.5,4200000,"Marquesas Keys, 15.9 mi NW of",High
1055,2011,7-Dec-2011,26.45157,-82.01543,0.5,4176000,Lighthouse Beach,High
306,2007,16-Oct-2007,29.43968,-81.10777,0.4,4170000,Gamble Rogers State Park,High
2314,2013,21-Jan-2013,26.809883,-82.37796,0.5,4131000,"Gasparilla Pass, 6 miles W of",High
296,2007,16-Oct-2007,29.6952,-81.2283,0.5,4030000,SEAS #176 Surface,High
3334,2015,29-Oct-2015,30.136333,-85.67683,0.5,4026333, ,High
139,2007,28-Feb-2007,24.4784,-81.732,0.5,4011000,KD01,High
2518,2013,5-Feb-2013,26.223889,-81.93155,0.5,3984300,"Clam Pass, 4 miles NW of",High
2035,2012,26-Dec-2012,27.10034,-82.46089,0.5,3890000,Venice Beach,High
1621,2012,5-Nov-2012,26.442526,-82.08306,0.5,3800000,Tarpon Bay Dock,High
1151,2011,26-Dec-2011,26.42415,-82.01025,0.5,3708300,"Sanibel Island, 1.75 miles SE of",High
758,2009,1-Nov-2009,26.3939,-82.4399,0,3620000,Lee Co. 6,High
849,2011,23-Sep-2011,20.322917,-91.07208,16,3564000,"Campeche, offshore of",High
2026,2012,26-Dec-2012,27.10034,-82.46089,0.5,3548000,Venice Beach,High
2204,2013,15-Jan-2013,26.98205,-82.38983,0.5,3540000,"Manasota Key, W of Lemon Bay",High
429,2007,5-Nov-2007,30.14133,-87.46117,0.5,3530000,Gulf of Mexico,High
985,2011,23-Nov-2011,26.259017,-82.13693,0.5,3461300,"Naples Park, 18 miles W of",High
1338,2012,9-Oct-2012,27.11934,-82.51265,0.5,3444000,"Nokomis Beach, W of",High
947,2011,14-Oct-2011,26.612333,-82.37935,0.5,3366000,"North Captiva Island, 9.7 miles NW of",High
1079,2011,9-Dec-2011,26.4196,-82.0775,0.5,3358600,Algier's Beach,High
304,2007,16-Oct-2007,29.63673,-81.19892,0,3330000,Washington Oaks State Park,High
305,2007,16-Oct-2007,29.4806,-81.1237,0.4,3300000,"Flagler Beach, Pier",High
3522,2015,1-Dec-2015,27.632617,-82.5782,0.5,3203833, ,High
2250,2013,16-Jan-2013,27.287183,-82.5788,0.5,3055600,"Palm Island, NW of",High
297,2007,16-Oct-2007,29.6952,-81.2283,0.5,3030000,SEAS #176 Bottom,High
2287,2013,16-Jan-2013,27.2844,-82.59478,0.5,3006600,"Palm Island, 1.7 miles NW of",High
251,2007,11-Oct-2007,29.74,-81.2461,0.5,3000000,S St Johns #72,High
1687,2012,8-Nov-2012,26.4425,-82.0831,0.5,3000000,Tarpon Bay Dock,High
919,2011,11-Oct-2011,26.65087,-82.4,0.5,2962600,"Cayo Costa, 9.5 miles W",High
2148,2013,14-Jan-2013,27.05703,-82.4436,0.5,2960000,Caspersen Beach,High
2346,2013,22-Jan-2013,26.92467,-82.36189,0.5,2816000,Englewood Beach,High
3513,2015,1-Dec-2015,27.3316,-82.5779,0.5,2809000, ,High
2654,2013,21-Feb-2013,26.64667,-82.22033,0.5,2762300,"Narrows Key, NE of",High
748,2009,31-Oct-2009,26.396333,-82.08038,0.5,2744000,"Sanibel Island, 1.83 mi S of",High
2463,2013,5-Feb-2013,26.3149,-82.0004,0.5,2736000,"Lovers State Park, W of",High
757,2009,1-Nov-2009,26.4051,-82.4401,0,2735000,Lee Co. 5,High
2336,2013,22-Jan-2013,26.83868,-82.2798,0.5,2716000,"Little Gasparilla Island, 1 mile E of",High
2642,2013,20-Feb-2013,26.52636,-82.19388,0.5,2676000,S. Seas Plantation Entrance,High
284,2007,15-Oct-2007,30.34085,-87.08351,0.5,2670000,Portofino Beach,High
1149,2011,26-Dec-2011,26.428317,-82.01033,0.5,2625300,"Sanibel Island, 1.49 miles SE of",High
2487,2013,5-Feb-2013,26.7876,-82.2452,0.5,2621300,Sandfly Key,High
2147,2013,14-Jan-2013,27.06631,-82.448,0.5,2590000,Brohard Beach,High
3495,2015,28-Nov-2015,29.9495,-85.54652,0.5,2575333,Mexico Beach Inlet; 7 mi W of,High
2074,2013,2-Jan-2013,26.45157,-82.01543,0.5,2568000,Lighthouse Beach,High
1668,2012,7-Nov-2012,26.8141,-82.2818,0.5,2566600,Gasparilla Pass,High
1065,2011,8-Dec-2011,26.44242,-82.08287,0.5,2558300,Tarpon Bay,High
236,2007,8-Oct-2007,30.1315,-85.7233,0.5,2533000,"Grand Lagoon, St.  Andrews Bay",High
1618,2012,5-Nov-2012,27.3268,-82.5624,0.5,2530000,Ringling Causeway  (SCHD),High
3531,2015,2-Dec-2015,27.33375,-82.57938,0.5,2522000, ,High
3260,2015,15-Oct-2015,29.899283,-85.463383,0.3,2514167,Mexico Beach; 4.7 mi SW of,High
487,2007,1-Dec-2007,27.95607,-80.50087,0,2482600,"Brevard County, S. Mello Beach",High
1343,2012,9-Oct-2012,26.49152,-82.47308,0.5,2480000,"Gasparilla Island, 5.1 miles SW of",High
1138,2011,21-Dec-2011,26.436233,-82.02893,0.5,2462300,"Sanibel Island, 0.38 miles SE of",High
2177,2013,15-Jan-2013,27.1139,-82.4649,0.5,2460000,Snake Island,High
2342,2013,22-Jan-2013,26.13163,-81.8063,0.5,2456000,Naples Pier,High
3514,2015,1-Dec-2015,27.33375,-82.57938,0.5,2456000, ,High
862,2011,28-Sep-2011,27.08957,-82.50964,1,2450000,"Venice, 3.1 miles SW of",High
3147,2014,8-Nov-2014,26.333,-81.94373,0.3,2444167,Bonita Beach; 5.97 mi W of,High
3251,2015,14-Oct-2015,27.14594,-82.50774,4.2,2440000,Venice North Jetty; 3.25 mi NW of,High
290,2007,16-Oct-2007,29.6968,-81.2243,0.5,2430000,SEAS #061,High
765,2009,1-Nov-2009,26.4171,-82.4403,0,2400000,Lee Co. 14,High
38,2007,8-Jan-2007,27.1233,-82.4712,0.5,2378000,Mote-Nokomis Bch.,High
2068,2012,31-Dec-2012,26.92467,-82.36189,0.5,2376000,Englewood Beach,High
1399,2012,16-Oct-2012,26.9307,-82.3498,0.5,2341600,"Manasota Key, NE of, Lemon Bay",High
2300,2013,17-Jan-2013,26.30481,-81.8362,0.5,2332000,Barefoot Beach,High
3469,2015,23-Nov-2015,27.32682,-82.56244,0.5,2305000, ,High
3120,2014,1-Oct-2014,29.38283,-83.224,0.5,2300000,Big Pine Island; 1.34 mi W off (Horseshoe Cove),High
2481,2013,5-Feb-2013,26.50355,-82.27205,0.5,2298000,"Captiva Island, W of",High
3335,2015,29-Oct-2015,30.11367,-85.682,0.5,2269167, ,High
731,2009,28-Oct-2009,26.341667,-82.04333,0.5,2268000,NOAA-SFERPM-CAL3,High
3379,2015,6-Nov-2015,27.3316,-82.5779,0.5,2241000, ,High
1131,2011,21-Dec-2011,26.42309,-82.08012,0.5,2240000,Tarpon Road Beach,High
2527,2013,6-Feb-2013,26.5535,-82.1963,0.5,2237600,Redfish Pass,High
1152,2011,26-Dec-2011,26.41865,-82.02125,0.5,2230600,"Sanibel Island, 1.69 miles SE of",High
283,2007,15-Oct-2007,30.3306,-87.1392,0.5,2230000,"Pensacola Beach, Casino Beach",High
2288,2013,16-Jan-2013,27.249567,-82.55775,2,2224300,"Siesta Key, 1.4 miles W of",High
861,2011,28-Sep-2011,27.08957,-82.50964,1,2204000,"Venice, 3 miles SW of",High
462,2007,20-Nov-2007,29.07145,-80.91039,0.5,2200000,"Volusia Co, Flagler Ave, New Smryna Beach",High
2073,2013,2-Jan-2013,26.42309,-82.08012,0.5,2200000,Tarpon Road Beach,High
882,2011,6-Oct-2011,26.5191,-82.27223,0.5,2192600,"Captiva Island, 4.8 miles SW of",High
3432,2015,16-Nov-2015,27.0735,-82.4509,0.5,2161000, ,High
2488,2013,5-Feb-2013,26.7667,-82.23333,0.5,2154600,"Devilfish Key, Gasparilla Sound",High
2347,2013,22-Jan-2013,26.80562,-82.27415,0.5,2112000,"Gasparilla Island, NE tip, Gasparilla Sound",High
845,2011,23-Sep-2011,20.448733,-91.14796,3,2097300,"Campeche, offshore of",High
1297,2012,8-Oct-2012,27.1138,-82.4688,0.5,2079000,North Jetty (SCHD),High
2484,2013,5-Feb-2013,26.33998,-82.11716,0.5,2079000,"Sanibel Island, S of",High
3565,2015,14-Dec-2015,29.683,-85.237667,0.5,2068000, ,High
3460,2015,19-Nov-2015,27.3316,-82.5779,0.5,2061000, ,High
2486,2013,5-Feb-2013,26.8166,-82.2524,0.5,2045300,"Catfish Creek, Gasparilla Sound",High
2149,2013,14-Jan-2013,27.01031,-82.41312,0.5,2040000,Manasota Beach,High
3448,2015,17-Nov-2015,27.3316,-82.5779,0.5,2026000, ,High
2144,2013,14-Jan-2013,26.96324,-82.38565,0.5,2020000,Blind Pass Beach,High
2544,2013,7-Feb-2013,26.676333,-82.35866,0.5,2008300,"Cayo Costa, 5.9 miles W of",High
315,2007,17-Oct-2007,30.1331,-85.7313,0.5,1999999,St. Andrew State Park Boat Ramp,High
3428,2015,16-Nov-2015,27.12332,-82.47122,0.5,1989000, ,High
1147,2011,26-Dec-2011,26.454917,-82.00738,0.5,1983300,"Sanibel Light, 0.40 miles NE of, San Carlos Bay",High
1133,2011,21-Dec-2011,26.45155,-82.00865,0.5,1977600,"Sanibel Lighthouse, 0.32 miles SE of",High
3097,2014,22-Sep-2014,29.5803,-83.6234,1.2,1972667,Steinhatchee; 14 mi SW of,High
3492,2015,25-Nov-2015,27.33375,-82.57938,0.5,1961000, ,High
2207,2013,15-Jan-2013,26.95606,-82.36756,0.5,1960000,"Indian Mound Park, W of, Lemon Bay",High
3562,2015,11-Dec-2015,30.376034,-86.863128,0.5,1958333,Navarre Beach Pier,High
3244,2015,14-Oct-2015,27.30526,-82.57369,0.5,1948000,Lido Beach; 0.6mi NW of South Lido Park,High
3461,2015,19-Nov-2015,27.33375,-82.57938,0.5,1935000, ,High
3453,2015,18-Nov-2015,27.3316,-82.5779,0.5,1930000, ,High
3098,2014,22-Sep-2014,29.4052,-83.6239,0.6,1921333,Horseshoe Beach; 20 mi W of,High
3454,2015,18-Nov-2015,27.33375,-82.57938,0.5,1884000, ,High
2172,2013,15-Jan-2013,26.95606,-82.36756,0.5,1880000,"Indian Mound Park, W of, Lemon Bay",High
127,2007,8-Feb-2007,26.80389,-82.27457,0.5,1870000,Gasparilla Fishing Pier,High
3466,2015,23-Nov-2015,27.3316,-82.5779,0.5,1863000, ,High
891,2011,6-Oct-2011,26.634767,-82.33551,7,1862600,"Cayo Costa , 5.6 miles SW of",High
2269,2013,16-Jan-2013,27.249567,-82.55775,0.5,1857600,"Siesta Key, 1.4 miles W of",High
2275,2013,16-Jan-2013,27.197783,-82.53011,0.5,1857600,"Turtle Beach, 1.53 miles SW of",High
1296,2012,8-Oct-2012,27.1233,-82.4712,0.5,1852000,Nokomis Beach  (SCHD),High
3215,2015,5-Oct-2015,29.91588,-85.3802,0.5,1837667,Lightkeepers Dr; end of,High
2656,2013,21-Feb-2013,26.71558,-82.2575,0.5,1837600,Boca Grande Pass,High
61,2007,14-Jan-2007,25,-82.595,0,1830000,"Dry Tortugas, 28.5 mi NE of",High
3419,2015,13-Nov-2015,27.33375,-82.57938,0.5,1824000, ,High
2848,2013,18-Nov-2013,26.31399,-82.00285,0.5,1821000,"Bonita Beach Park, SW of",High
2483,2013,5-Feb-2013,26.41686,-82.20011,0.5,1812000,"Sanibel Island, W of",High
3430,2015,16-Nov-2015,27.10034,-82.46089,0.5,1811000, ,High
1336,2012,9-Oct-2012,26.97335,-82.42513,5,1810000,"Blind Pass Beach, 2.5 miles NW of",High
989,2011,23-Nov-2011,26.055333,-82.0531,0.5,1804000,"Bartell Bay, 20.7 miles W of",High
281,2007,15-Oct-2007,30.3824,-86.4508,0.5,1800000,Henderson Beach,High
289,2007,16-Oct-2007,29.676,-81.2207,0.5,1800000,SEAS #105,High
763,2009,1-Nov-2009,26.417,-82.4403,0,1800000,Lee Co. 12,High
1148,2011,26-Dec-2011,26.430633,-82.01288,0.5,1789300,"Sanibel Island, 1.26 miles SE of",High
3318,2015,28-Oct-2015,30.10185,-85.59119,0.5,1778167,Long Point; E of (East Bay),High
3226,2015,12-Oct-2015,29.9159,-85.3802,0.5,1770000,Beacon Hill,High
1026,2011,28-Nov-2011,26.410283,-81.94606,0.5,1750000,"Estero Island, 2.2 miles SW of",High
2170,2013,15-Jan-2013,27.01744,-82.41473,0.5,1750000,"Caspersen Beach, SE of, ICWW",High
2251,2013,16-Jan-2013,27.287183,-82.5788,1,1735600,"Palm Island, NW of",High
292,2007,16-Oct-2007,29.7192,-81.2463,0.5,1730000,SEAS #100 Surface,High
293,2007,16-Oct-2007,29.7192,-81.2463,0.5,1730000,SEAS #100 Bottom,High
949,2011,14-Oct-2011,26.59745,-82.38301,0.5,1729200,"North Captiva Island, 9.8 miles NW of",High
1301,2012,8-Oct-2012,27.0663,-82.448,0.5,1724000,Brohard Beach  (SCHD),High
3193,2015,24-Sep-2015,29.683611,-85.307222,0.5,1709167,Salina's Park,High
3336,2015,29-Oct-2015,30.0775,-85.62266,0.5,1709167, ,High
1435,2012,17-Oct-2012,26.70087,-82.28903,0.5,1701000,"Boca Grande Pass, 1.96 mi W of",High
291,2007,16-Oct-2007,29.7052,-81.2281,0.5,1700000,"Matanzas Inlet, St. Johns County",High
243,2007,9-Oct-2007,29.77156,-81.25325,0,1694000,St Augustine Beach South of Dondanville Access Ramp,High
507,2007,3-Dec-2007,28.12243,-80.57526,0.5,1694000,Bevard County; Paraside Beach,High
3523,2015,1-Dec-2015,27.5967,-82.6055,0.5,1685833, ,High
3420,2015,16-Nov-2015,27.3316,-82.5779,0.5,1682000, ,High
848,2011,23-Sep-2011,20.322917,-91.07208,10,1672000,"Campeche, offshore of",High
405,2007,25-Oct-2007,30.4,-81.3333,0.5,1670000,"St. Johns LT, 3.5 mi E of",High
535,2007,10-Dec-2007,27.6325,-80.35194,0.5,1670000,Indian River Co South Beach Park sp 9,High
2510,2013,5-Feb-2013,26.360139,-81.89319,0.5,1662300,"Lovers Key State Park, 2 miles SW of",High
753,2009,1-Nov-2009,26.4448,-82.4408,0,1650000,Lee Co. 1,High
256,2007,11-Oct-2007,29.63673,-81.19892,0.3,1630000,Flagler Co Washington Oaks State Park,High
2429,2013,30-Jan-2013,26.8223,-82.277,0.5,1629300,"Bird Key, Placida Harbor ",High
847,2011,23-Sep-2011,20.322917,-91.07208,3,1628000,"Campeche, offshore of",High
3099,2014,22-Sep-2014,29.4059,-83.8239,0.6,1628000,Horseshoe Beach; 32 mi W of,High
767,2009,1-Nov-2009,26.4265,-82.4404,0,1625000,Lee Co. 16,High
1057,2011,7-Dec-2011,26.39049,-81.87901,0.5,1621300,Lovers Key State Park,High
756,2009,1-Nov-2009,26.4154,-82.4403,0,1600000,Lee Co. 4,High
3421,2015,16-Nov-2015,27.33375,-82.57938,0.5,1581000, ,High
2295,2013,17-Jan-2013,27.3316,-82.5779,0.5,1580000,"Bay Dock, Sarasota Bay",High
3463,2015,20-Nov-2015,27.33375,-82.57938,0.5,1577000, ,High
3524,2015,1-Dec-2015,27.587433,-82.61895,0.5,1571111, ,High
1172,2011,29-Dec-2011,26.2073,-81.8169,0.5,1550000,Seagate,High
2356,2013,23-Jan-2013,26.7022,-82.183,0.5,1524000,Bokeelia Island,High
1134,2011,21-Dec-2011,26.408783,-82.0666,0.5,1519300,"Sanibel Island , 1.02 miles SE of",High
1088,2011,9-Dec-2011,26.4131,-82.0765,0.5,1510600,"Algier's Beach, 0.6 miles S of",High
285,2007,15-Oct-2007,30.088,-85.6586,0,1500000,Beacon Beach,High
3332,2015,29-Oct-2015,30.09017,-85.66658,0.5,1499167, ,High
1672,2012,7-Nov-2012,26.5535,-82.1963,0.5,1496000,Redfish Pass,High
3471,2015,23-Nov-2015,27.311,-82.57718,0.5,1496000, ,High
2305,2013,20-Jan-2013,27.274667,-82.57246,0.5,1491600,"Siesta Key, 0.3 miles W of",High
2276,2013,16-Jan-2013,27.197783,-82.53011,4,1491000,"Turtle Beach, 1.53 miles SW of",High
2041,2012,26-Dec-2012,26.96324,-82.38565,0.5,1490000,Blind Pass Beach,High
3119,2014,1-Oct-2014,29.39683,-83.21167,0.5,1471000,Shired Island; 0.19 mi SW of (Horseshoe Beach),High
3072,2014,29-Aug-2014,28.151916,-82.965883,7.9,1462667,Anclote Keys; 7.3 mi W of,High
3400,2015,9-Nov-2015,27.31561,-82.58171,0.5,1462000, ,High
3462,2015,20-Nov-2015,27.3316,-82.5779,0.5,1461000, ,High
3103,2014,22-Sep-2014,29.5933,-83.4973,0.5,1454333,Bird Island; 5.4 mi SW of,High
889,2011,6-Oct-2011,26.48225,-82.34303,7,1452000,"Albright Key, 9.8 miles W of",High
2090,2013,3-Jan-2013,26.71558,-82.2575,0.5,1452000,Boca Grande Pass,High
2183,2013,15-Jan-2013,26.92467,-82.36189,0.5,1452000,Englewood Beach,High
2335,2013,22-Jan-2013,26.81617,-82.2805,0.5,1452000,Gasparilla Pass,High
2489,2013,5-Feb-2013,26.74065,-82.2145,0.5,1442600,"Boca Grande, 2.4 miles E of, Charlotte Harbor",High
2086,2013,3-Jan-2013,26.7876,-82.2452,0.5,1441600,Sandfly Key,High
1025,2011,28-Nov-2011,26.383583,-81.94663,0.5,1437300,"Lovers Key State Park, 4.6 miles SW of",High
57,2007,11-Jan-2007,26.92467,-82.36189,0.5,1430000,Englewood Beach(ChCP),High
3114,2014,27-Sep-2014,29.30935,-83.19966,2.6,1429333,Little Bradford Island; 1.72 mi W of,High
3005,2014,19-Aug-2014,28.24918,-83.23147,19.8,1422000,Green Key; 29 mi W of,High
3026,2014,19-Aug-2014,28.24918,-83.23147,19.8,1422000,Green Key; 29 mi W of,High
2338,2013,22-Jan-2013,26.9307,-82.3498,0.5,1417600,"Manasota Key, NE of, Lemon Bay",High
2247,2013,16-Jan-2013,26.45157,-82.01543,0.5,1404000,Lighthouse Beach,High
3425,2015,16-Nov-2015,27.29818,-82.56739,0,1404000, ,High
280,2007,15-Oct-2007,30.3454,-86.2309,0.5,1400000,"Dune Allen Beach, Ed Walline Park",High
766,2009,1-Nov-2009,26.427,-82.4405,0,1400000,Lee Co. 15,High
1389,2012,15-Oct-2012,26.9632,-82.3857,0.5,1397000,Blind Pass Beach (SCHD),High
3158,2014,12-Nov-2014,26.3141,-82.00202,0.6,1397000,Barefoot Beach; 10 mi W of,High
3431,2015,16-Nov-2015,27.07827,-82.45286,0.5,1385000, ,High
2034,2012,26-Dec-2012,27.11382,-82.46883,0.5,1380000,North Jetty,High
165,2007,24-Sep-2007,30.108333,-85.746666,13.72,1372000,Panama City CGA -1,High
249,2007,11-Oct-2007,29.67528,-81.22,0.5,1370000,S St. Johns #105,High
3401,2015,9-Nov-2015,27.311,-82.57718,0.5,1361000, ,High
2184,2013,15-Jan-2013,26.80562,-82.27415,0.5,1356600,"Gasparilla Island, NE tip, Gasparilla Sound",High
1367,2012,10-Oct-2012,27.0826,-82.4806,0.5,1343000,CR-3,High
1580,2012,31-Oct-2012,26.6716,-82.1895,0.5,1337600,"Part Island, North of",High
890,2011,6-Oct-2011,26.634767,-82.33551,0.5,1334600,"Cayo Costa, 5.6 miles SW of",High
1064,2011,8-Dec-2011,26.44242,-82.08287,0.5,1333300,Tarpon Bay,High
888,2011,6-Oct-2011,26.48225,-82.34303,0.5,1332981,"Albright Key, 9.8 miles W of",High
3390,2015,9-Nov-2015,30.096861,-85.609778,0.5,1325000, ,High
3307,2015,27-Oct-2015,27.3316,-82.5779,0.5,1321000, ,High
1205,2012,12-Jan-2012,26.463067,-82.02048,0.5,1319300,"Sanibel Causeway, San Carlos Bay",High
1719,2012,9-Nov-2012,26.634267,-83.28293,10,1308300,"Costa Cayo, 64.69 miles W of",High
3371,2015,3-Nov-2015,30.133222,-85.731345,0.5,1308167,St. Andrews State Park Pier; bayside,High
2475,2013,5-Feb-2013,26.61076,-82.2894,0.5,1302000,"Captiva Pass, W of",High
2173,2013,15-Jan-2013,27.1185,-82.4651,0.5,1301000,"Bay Island, NE of, Roberts Bay",High
2442,2013,4-Feb-2013,26.96324,-82.38565,0.5,1294000,Blind Pass Beach,High
898,2011,6-Oct-2011,26.68,-82.31401,0.5,1290600,"Cayo Costa , 3.2 miles NW of",High
913,2011,11-Oct-2011,26.73527,-82.4941,0.5,1290600,"Boca Grande, 14.2 mile W",High
1351,2012,9-Oct-2012,26.525667,-82.30905,0.5,1288600,"Captiva Island, 7.08 miles W of",High
344,2007,18-Oct-2007,26.256,-82.026,0.5,1288000,03',High
358,2007,18-Oct-2007,26.256,-82.026,0.5,1288000,03',High
3499,2015,30-Nov-2015,27.33375,-82.57938,0.5,1281000, ,High
2120,2013,9-Jan-2013,26.745833,-82.48646,0.5,1276000,"Boca Grande, 13.7 miles W of",High
892,2011,6-Oct-2011,26.665367,-82.35288,0.5,1275000,"Cayo Costa , 6.2 miles W of",High
